,Venue,Venue Latitude,Venue Longitude,Venue Category
40,Sushi Yu II,40.8512546772285,-73.93965198989514,Sushi Restaurant
41,Fort Washington Bakery & Deli,40.85104558248512,-73.93864460474616,Bakery
42,Starbucks,40.85096145,-73.93833015,Coffee Shop
43,Baskin-Robbins,40.85044405488296,-73.9373276411219,Ice Cream Shop
44,Tung Thong,40.851109976169056,-73.93921985006985,Thai Restaurant
45,No. 1 Chinese Restaurant,40.85123671099152,-73.93960586750859,Chinese Restaurant
46,Moscow on the Hudson,40.850958871640614,-73.93864544774256,Grocery Store
47,Exclusive Pizza,40.850988519138205,-73.93863461560966,Pizza Place
48,Domino's Pizza,40.85050750131605,-73.9376825094223,Pizza Place
49,Great Wall Chinese Restaurant,40.85085901713292,-73.93834216873442,Chinese Restaurant
50,Red Room Lounge,40.85068515429543,-73.93655058685616,Lounge
51,Columbia Wine Company,40.8420756,-73.93880089999999,Wine Shop
52,Tasty Deli,40.84181825314834,-73.93929550503071,Sandwich Place
53,Barnes & Noble,40.84008841835173,-73.9410138130188,Bookstore
54,Mike's Bagels,40.84130375074571,-73.93969147132887,Bagel Shop
55,Labella Nail And Spa,40.84220876634407,-73.93918191041098,Spa
56,Shana's Nail & Spa,40.841279658392814,-73.93973716918981,Nail Salon
57,Tung Thong Thai Restaurant,40.84145073169169,-73.938856315647,Thai Restaurant
58,Dallas BBQ,40.839860474787976,-73.9405094218642,BBQ Joint
59,Jade Garden Chinese Restaurant,40.84192289321093,-73.93925666872532,Chinese Restaurant
60,Chipotle Mexican Grill,40.84150081441521,-73.93987634995904,Mexican Restaurant
61,Starbucks,40.84118767,-73.9398428,Coffee Shop
62,Famous Famiglia,40.84133407282856,-73.93957724452268,Pizza Place
63,Neighborhood Sbarro,40.8414554,-73.9398616,Pizza Place
64,MTA Subway - 168th St (A/C/1),40.84165087793608,-73.93938839435577,Metro Station
65,Highbridge Park,40.84076848482368,-73.94292688638392,Park
66,Starbucks,40.841054306805155,-73.94311666488647,Coffee Shop
67,Windows On The Hudson,40.84201602942693,-73.9432408969147,New American Restaurant
68,Milstein Garden Cafe,40.840876885986354,-73.94308791706834,American Restaurant
69,Chase Bank,40.841164641681615,-73.94192960796929,Bank
70,Gyro Hut truck,40.84193183244531,-73.94211578908106,Food Truck
71,Wake Up With The Best Coffee Cart,40.84205347782276,-73.94227077881384,Food Truck
72,Haven Plaza,40.84237,-73.94275,Plaza
73,Hot Dog Cart @ Columbia Presbyterian Medical Center,40.84021510754841,-73.9428964768438,Hot Dog Joint
74,Jackie Robinson Park Recreation Center,40.823965202534055,-73.94241985921619,Pool
75,T-Mobile,40.82303289338655,-73.94154757261276,Mobile Phone Shop
76,Baskin-Robbins,40.8228874206543,-73.9415054321289,Ice Cream Shop
77,Clove Indian Restaurant & Bar,40.82128,-73.95062,Indian Restaurant
78,Starbucks,40.81992301549787,-73.9501539067642,Coffee Shop
79,Grand Great Wall,40.82122061569377,-73.9505802190639,Chinese Restaurant
80,Oasis Juice Bar,40.815016957500134,-73.95887946970998,Juice Bar
81,The Expat,40.815355,-73.960178,Gastropub
82,Jin Ramen,40.815406172563904,-73.95854739270733,Ramen Restaurant
83,El Porton,40.81439947957596,-73.95932994222076,Mexican Restaurant
84,Chapati House - NYC,40.81457249971737,-73.95915381671377,Indian Restaurant
85,Bettolona,40.81408384945623,-73.95957422392542,Italian Restaurant
86,Go! Go! Curry!,40.81547267978402,-73.95823441394805,Japanese Curry Restaurant
87,La Salle Dumpling Room,40.81405982513547,-73.95970095977188,Dumpling Restaurant
88,The Craftsman,40.814611835311716,-73.95914766751388,Bar
89,Kissaten Jin,40.81545749902605,-73.9584688976533,Café
90,Toast 125,40.81486,-73.9594,American Restaurant
91,Falafel on Broadway,40.814438358419125,-73.95925145225897,Falafel Restaurant
92,Loui Loui Louisiana Seafood,40.8142168897983,-73.95945001739813,Seafood Restaurant
93,Starbucks,40.81507408334908,-73.95893045497931,Coffee Shop
94,Chase Bank,40.81566917793985,-73.95793324555281,Bank
95,China Place,40.81403821530296,-73.95954897357637,Chinese Restaurant
96,CTown Supermarkets,40.81472798073706,-73.95768021315831,Grocery Store
97,The UPS Store,40.815107880173464,-73.95921482209008,Shipping Store
98,Duane Reade,40.8150493,-73.9581163,Pharmacy
99,Subway,40.81527650196197,-73.9582307259405,Sandwich Place
100,Peking Garden Restaurant,40.81484045247877,-73.95885916848144,Chinese Restaurant
101,Good Friend Chinese Restaurant,40.815996999999996,-73.957668,Chinese Restaurant
102,Hana Sushi,40.814076,-73.959962,Sushi Restaurant
103,Thrifty Grocery,40.814312,-73.9592669,Grocery Store
104,Empire Beauty Spa,40.814601,-73.959565,Spa
105,babbalucci,40.80887484053778,-73.94479602674905,Pizza Place
106,Harlem Yoga Studio,40.80707697816692,-73.9440096915664,Yoga Studio
107,Red Rooster,40.8080269631909,-73.94482071443792,Southern / Soul Food Restaurant
108,Harlem Shake,40.807050027706815,-73.94609916624624,Burger Joint
109,Ginny's Supper Club,40.80825042375865,-73.94515068062611,Comfort Food Restaurant
110,Whole Foods Market,40.80778099697608,-73.9459228655522,Grocery Store
111,Cove Lounge,40.808717929625026,-73.94519638837698,Lounge
112,Sylvia's Restaurant,40.808705387061195,-73.94472543315179,Southern / Soul Food Restaurant
113,Gin Fizz Harlem,40.80803730797317,-73.94533642397197,Cocktail Bar
114,Corner Social,40.808499095329566,-73.94512095975647,American Restaurant
115,Caribbean Starr,40.807083,-73.945664,Caribbean Restaurant
116,Chaiwali Harlem,40.80680791172174,-73.94599425429385,Café
117,Victoria’s Secret,40.807987,-73.946624,Lingerie Store
118,Cantina Taqueria & Tequila Bar,40.80884308065636,-73.94482722669478,Mexican Restaurant
119,Chez Lucienne,40.80802808886897,-73.94531571926305,French Restaurant
120,Bath & Body Works,40.807881,-73.946267,Cosmetics Shop
121,Olive Garden,40.807909393495834,-73.94623046733338,Italian Restaurant
122,AT&T,40.80784506318741,-73.94499823145634,Mobile Phone Shop
123,American Eagle Store,40.8078248,-73.9461921,Clothing Store
124,Chase Bank,40.8075709,-73.9442942,Bank
125,Burlington,40.80818211849879,-73.94683877435952,Department Store
126,T-Mobile,40.807357588052206,-73.94394010305405,Mobile Phone Shop
127,Jimbo's Hamburger Palace,40.80744793091153,-73.94581783206462,Burger Joint
128,Chipotle Mexican Grill,40.807292,-73.94508,Mexican Restaurant
129,Wingstop,40.807480316206096,-73.94463250521963,Wings Joint
130,SUBWAY,40.806909999999995,-73.94415699999999,Sandwich Place
131,Papa John's Pizza,40.80888748168945,-73.94513702392578,Pizza Place
132,Dunkin',40.80812392157889,-73.94578027509277,Donut Shop
133,CVS pharmacy,40.80798772885448,-73.94554572306566,Pharmacy
134,Studio Museum in Harlem,40.808649211560656,-73.94747119243361,Art Museum
135,Artist & Craftsman Supply,40.809374629164815,-73.94799261517097,Arts & Crafts Store
136,Delhi Masala,40.808009000000006,-73.948587,Indian Restaurant
137,Harlem Seafood Soul,40.80890143734583,-73.94797087053819,Food Truck
138,Carter's,40.809689,-73.948886,Kids Store
139,GNC,40.8097,-73.9489,Supplement Shop
140,MAC Cosmetics,40.809179914959536,-73.94864026009954,Cosmetics Shop
141,Asian Fusion,40.807864,-73.948691,Japanese Restaurant
142,ALDO,40.809421,-73.950022,Shoe Store
143,Accra Restaurant,40.80786779413678,-73.94910729705569,African Restaurant
144,MAC Cosmetics,40.8089781,-73.9487916,Cosmetics Shop
145,The Childrens Place,40.80953682285005,-73.9498077222841,Kids Store
146,Mattress Firm,40.80859375,-73.9482192993164,Mattress Store
147,Atmos,40.809152697780654,-73.94867449002818,Clothing Store
148,GameStop,40.809763627272744,-73.95016806052068,Video Game Store
149,Lane Bryant,40.809124549399804,-73.94934962486963,Clothing Store
150,Verizon,40.8087444,-73.9481254,Mobile Phone Shop
151,Sprint Store,40.809469865483806,-73.94873226747644,Mobile Phone Shop
152,Starbucks,40.809155492394076,-73.94851570126119,Coffee Shop
153,FedEx Office Print & Ship Center,40.8093269,-73.9486858,Shipping Store
154,Champs Sports,40.8090634,-73.9489896,Sporting Goods Shop
155,Book Culture,40.80662936114509,-73.96493964169838,Bookstore
156,Riverside Park @ 115th St.,40.80664047899827,-73.96651381236042,Park
157,Columbia Greenmarket,40.807194984372074,-73.96433545649353,Farmers Market
158,Milano Market,40.805847954124296,-73.96542446431012,Sandwich Place
159,Community Food & Juice,40.805822748265,-73.96548276458269,American Restaurant
160,Häagen-Dazs,40.80629288415964,-73.96513742981416,Ice Cream Shop
161,Shake Shack,40.8079332191406,-73.96401291782416,Burger Joint
162,sweetgreen,40.8072844,-73.9647533,Salad Place
163,Dos Toros Taqueria,40.806545,-73.965269,Mexican Restaurant
164,Hamilton Deli,40.80656732986023,-73.96127431594041,Deli / Bodega
165,Strokos Gourmet Deli,40.80546311360636,-73.96206773674335,Deli / Bodega
166,Levain Bakery,40.80489688300106,-73.9550975367771,Bakery
167,Vinatería,40.80636168237169,-73.9540006076247,Wine Bar
168,Double Dutch Espresso,40.80589321091626,-73.95422227689963,Coffee Shop
169,Lido Harlem,40.80498682497725,-73.95488535787203,Italian Restaurant
170,Mess Hall,40.805930718353466,-73.95421333503732,Cocktail Bar
171,Lee Lee's Baked Goods,40.805626839154264,-73.95414206705404,Bakery
172,La Diagonal,40.8060421604619,-73.95292239373252,Mexican Restaurant
173,Best Market,40.806067140423096,-73.9543523359782,Grocery Store
174,B2 Harlem,40.806146000000005,-73.95316,Seafood Restaurant
175,BeBenoir,40.804768,-73.95478299999999,Boutique
176,Hop House,40.806916326149185,-73.95343393031234,Beer Bar
177,East River Wine And Spirits,40.79570561648315,-73.93280476441412,Wine Shop
178,GameStop,40.79539789318714,-73.9314671234935,Video Game Store
179,Target,40.79528590433512,-73.93135683128891,Big Box Store
180,ALDI,40.79545756708304,-73.93091689814759,Supermarket
181,East River Plaza,40.79540904800862,-73.93135805057715,Shopping Mall
182,Applebee's Grill + Bar,40.7955824,-73.93233755,American Restaurant
183,Mattress Firm,40.7955207824707,-73.93106842041016,Mattress Store
184,Pizza Hut,40.79536360630717,-73.93126330807263,Pizza Place
185,Old Navy,40.79523800899642,-73.93135230986476,Clothing Store
186,Subway,40.795363,-73.933226,Sandwich Place
187,Book Culture,40.805104240680436,-73.96497962203306,Bookstore
188,Hex & Company,40.80526579539952,-73.96620274574032,Coffee Shop
189,Bank Street Bookstore,40.80542206898943,-73.96591263261523,Bookstore
190,Shaking Crab,40.80514466090976,-73.96603682623764,Seafood Restaurant
191,H Mart,40.80401565017113,-73.96667439065985,Grocery Store
192,Dig Inn,40.8055612,-73.9653484,American Restaurant
193,Chase Bank,40.8036206,-73.9666982,Bank
194,Westside Market,40.8042546041038,-73.96659969137721,Grocery Store
195,Mel's Burger Bar,40.80454679733712,-73.96632597507246,Burger Joint
196,Samad's Gourmet,40.805138975346054,-73.96602347805818,Deli / Bodega
197,Pinkberry,40.805315,-73.966196,Frozen Yogurt Shop
198,Pressed Juicery,40.804758,-73.966696,Juice Bar
199,Koronet Pizza,40.80450924137849,-73.9664393672695,Pizza Place
200,Janoff Stationery & Art Supply,40.805197454631966,-73.96592967936328,Arts & Crafts Store
201,Oren's Daily Roast,40.80560355494972,-73.96557919494434,Coffee Shop
202,Verizon,40.80335839163282,-73.96696539226468,Mobile Phone Shop
203,The Heights Bar & Grill,40.80515365457711,-73.9660777117582,Bar
204,Five Guys,40.8046911,-73.9668273,Burger Joint
205,Kung Fu Tea,40.804714,-73.966541,Bubble Tea Shop
206,The Vitamin Shoppe,40.8045486,-73.9670329,Supplement Shop
207,CVS Pharmacy,40.804121,-73.966669,Pharmacy
208,T-Mobile,40.804564132430926,-73.96599433044685,Mobile Phone Shop
209,Panda Express,40.804696623945794,-73.96627393563782,Chinese Restaurant
210,Tom's Restaurant,40.805436,-73.965334,Diner
211,Tea Magic,40.805312093190736,-73.96584605745183,Dessert Shop
212,Le Monde,40.805759806229496,-73.96590203046797,French Restaurant
213,Famous Famiglia's Pizza,40.804923627413146,-73.96625893481696,Pizza Place
214,Chipotle Mexican Grill,40.804515,-73.9668,Mexican Restaurant
215,TD Bank,40.8039113,-73.96743,Bank
216,Duane Reade,40.8048579,-73.9657081,Pharmacy
217,Starbucks,40.804695,-73.96667,Coffee Shop
218,Legend,40.80327583250809,-73.96687812798751,Asian Restaurant
219,Morningside Park Farmers Market,40.80139994360264,-73.95960609035657,Farmers Market
220,Central Park - Frederick Douglass Circle Gate,40.800336362096516,-73.9580512046814,Park
221,Cafe Amrita,40.800914687018555,-73.9588359637214,Café
222,Frederick Douglass Circle,40.8005541,-73.9581162,Plaza
223,SUBWAY,40.801078481610396,-73.95783421216109,Sandwich Place
224,Miss Mamie's Spoonbread Too,40.801700106273465,-73.96079116896837,Southern / Soul Food Restaurant
225,Central Market,40.800297495284134,-73.95934914772775,Supermarket
226,Starbucks,40.80120065,-73.95946589,Coffee Shop
227,Giovanni's,40.80169103634082,-73.96106849820595,Pizza Place
228,Hunan Chen's Kitchen,40.80141536264032,-73.96128555933272,Chinese Restaurant
229,Shahi Biryani & Grill,40.80116916619806,-73.96129209769111,Indian Restaurant
230,Deli Grocery,40.8003453142753,-73.95934268760227,Deli / Bodega
231,St. Nicholas & 8th Avenue Bike Path & Greenway (Uptown Manhattan),40.80053984680386,-73.95808339118958,Trail
232,Frederick Douglass Sculpture and Water Wall,40.80058451564272,-73.95817458629608,Outdoor Sculpture
233,Yoga To The People,40.79958793827724,-73.96819700736744,Yoga Studio
234,Broadway Dive,40.79797575759824,-73.96931697223722,Bar
235,Shiny Tea,40.79819637490187,-73.96927420740536,Bubble Tea Shop
236,Plowshares Coffee Bloomingdale,40.80019097153275,-73.96806622850414,Coffee Shop
237,HI New York City Hostel,40.798790078767915,-73.96659780899435,Hostel
238,Sal & Carmine's Pizza,40.79834700975136,-73.96913445406284,Pizza Place
239,Mokja,40.797706635429854,-73.9677888515501,Korean Restaurant
240,Ben & Jerry's,40.7997286,-73.9678537,Ice Cream Shop
241,Schatzie Prime Meat,40.79815904683432,-73.96930538618801,American Restaurant
242,Yakitori Sun-Chan,40.799469816088546,-73.96868884563446,Japanese Restaurant
243,The Nutbox,40.79991994989125,-73.96808130670608,Health Food Store
244,Jerusalem Restaurant,40.799651490277114,-73.9682578733501,Falafel Restaurant
245,Cafe du Soleil,40.800010128233424,-73.968094337515,French Restaurant
246,Richie's Burger Joint,40.798179663403516,-73.96928129257066,Burger Joint
247,Cool Fresh Juice Bar,40.79805159088816,-73.96932131232816,Juice Bar
248,BeFitNYC,40.79989133828773,-73.96758521097564,Gym / Fitness Center
249,Peaky Barista,40.798568,-73.968577,Coffee Shop
250,Buchetta Brick Oven Pizza,40.79863082188752,-73.96751094579628,Pizza Place
251,Starbucks,40.79888,-73.96837,Coffee Shop
252,Malaysia Grill,40.7994,-73.96766,Malay Restaurant
253,Broadway Diner,40.79818037519835,-73.9692646500756,Diner
254,Ollie's Noodle Shop & Grille,40.79937866374148,-73.96849305012344,Szechuan Restaurant
255,Riverside Liquor,40.80010049768274,-73.96802935454274,Liquor Store
256,New Amsterdam Fencing Academy,40.800064317067,-73.96802419301096,Gym
257,Mexican Deli,40.799541609062935,-73.96829833991654,Deli / Bodega
258,Aangan,40.79920639551372,-73.96848764882282,Indian Restaurant
259,Broadway Bagel,40.797878516912306,-73.96936402262264,Bagel Shop
260,Casa Mexicana,40.79881348860849,-73.9668769753304,Mexican Restaurant
261,Dunkin',40.79810661283671,-73.96930945579113,Donut Shop
262,Duane Reade,40.7988608,-73.9691502,Pharmacy
263,Whole Foods Wine Store,40.794285332292894,-73.96655816729033,Wine Shop
264,Chipotle Mexican Grill,40.7949232,-73.9657893,Mexican Restaurant
265,Starbucks,40.79536902,-73.96558901,Coffee Shop
266,Michaels,40.79491776675261,-73.96603177889854,Arts & Crafts Store
267,SEPHORA,40.79478019876236,-73.96639884540366,Cosmetics Shop
268,HomeGoods,40.79452332101835,-73.96589813670397,Furniture / Home Store
269,Columbus Square Courtyard,40.794838231871346,-73.96725654602051,Plaza
270,Felo Deli,40.795027772541935,-73.96418048446036,Deli / Bodega
271,T.J. Maxx,40.79489238107115,-73.96638526210188,Department Store
272,LOFT,40.7942237,-73.9663023,Women's Store
273,16 Handles,40.795996143675275,-73.97048932001769,Ice Cream Shop
274,Urban Outfitters,40.796925218923946,-73.970162482306,Clothing Store
275,Westside Market,40.79562350861422,-73.97114112171403,Supermarket
276,Awadh,40.79572232174015,-73.97103124622318,Indian Restaurant
277,Moonrise Izakaya,40.795347,-73.969806,Japanese Restaurant
278,Flor De Mayo,40.79781835926693,-73.96980449551504,Peruvian Restaurant
279,Manhattan Valley,40.79710105362881,-73.96994256767292,Indian Restaurant
280,Lenny's Bagels,40.79616,-73.97103,Bagel Shop
281,Cafe Viva Gourmet Pizza,40.795339,-73.970682,Pizza Place
282,IKM Krav Maga New York,40.79747216223202,-73.9704887823349,Martial Arts School
283,Happy Angel Nails And Spa,40.79704808392013,-73.9698471343977,Spa
284,Metro Diner,40.79736584658146,-73.97018820978309,Diner
286,Empire Sushi,40.79738110045238,-73.96991909792446,Sushi Restaurant
287,Naruto Ramen,40.79706506653448,-73.97002848881036,Noodle House
288,The Health Nuts,40.796307444112884,-73.97061660197768,Grocery Store
289,Wang Chen Table Tennis Club,40.79745508977466,-73.97068721285173,Tennis Court
290,The UPS Store,40.795326,-73.970677,Shipping Store
291,SUBWAY,40.795966,-73.971459,Sandwich Place
292,Texas Rotisserie & Grill,40.795484377030824,-73.97136076348116,BBQ Joint
293,The UPS Store,40.7956352284997,-73.97142872214323,Shipping Store
294,Buceo 95,40.79355044721195,-73.97114630224263,Tapas Restaurant
295,Symphony Space,40.793846,-73.972751,Theater
296,PlantShed New York Flowers,40.79449035922159,-73.9713732842349,Flower Shop
297,Pinkberry,40.792842,-73.972774,Frozen Yogurt Shop
298,Manhattan Diner,40.79380066232346,-73.97234734556315,Diner
299,Peter Jay Sharp Theatre @ Symphony Space,40.793980267466615,-73.9725206366774,Theater
300,St Francis Thrift Shop,40.7943014064953,-73.97106195165803,Thrift / Vintage Store
301,Popeyes Louisiana Kitchen,40.79371278537765,-73.97204101466026,Fried Chicken Joint
302,The Hotel Newton,40.79365735575002,-73.97229611240643,Hotel
303,The Salvation Army Thrift Store,40.79498443605287,-73.97265164694105,Thrift / Vintage Store
304,Filicori Zecchini,40.794104931261785,-73.97238442439031,Café
305,Whispers,40.79306612967772,-73.97226683531275,Restaurant
306,GNC,40.792390000000005,-73.97296999999999,Supplement Shop
307,Super Runners Shop,40.79415079128411,-73.97227316506095,Sporting Goods Shop
308,Vino Levantino,40.79312196342692,-73.9723631865751,Mediterranean Restaurant
309,Gotham Wines & Liquor,40.79327748710022,-73.97293921289736,Wine Shop
310,Bar Thalia,40.79404933800944,-73.97253442466453,Bar
311,Duane Reade,40.79336601266806,-73.9723596695967,Pharmacy
312,Super Tacos Truck,40.794676919046736,-73.97219868866215,Food Truck
313,94 Corner Cafe,40.793178,-73.972557,Café
314,Chase Bank,40.7939697,-73.9718686,Bank
315,Tasti D-Lite,40.79353692,-73.97211574,Ice Cream Shop
316,New York Sports Clubs,40.7937718,-73.9728384,Gym / Fitness Center
317,Starbucks,40.79381423,-73.97277682,Coffee Shop
318,All Seasons Nails & Spa,40.794870226560086,-73.97152097102779,Spa
319,Big Daddy's,40.79441788606907,-73.97166491736387,American Restaurant
320,T-Mobile,40.79491,-73.971955,Mobile Phone Shop
321,TD Bank,40.79364642252831,-73.97284761824267,Bank
322,La Nueva Victoria,40.79394371318364,-73.97224475675158,Cuban Restaurant
323,AT&T,40.7939894,-73.9719501,Mobile Phone Shop
324,Danny's Bicycles - Upper West Side,40.79463399999999,-73.97129149999999,Bike Shop
325,Leonard Nimoy Thalia @ Symphony Space,40.79401402636139,-73.97252217457603,Movie Theater
327,Equinox West 92nd Street,40.79196,-73.974096,Gym
328,Pio Pio Salon,40.79291477271488,-73.9712452854347,Peruvian Restaurant
329,Screme Gelato Bar,40.792665,-73.971252,Ice Cream Shop
330,SoulCycle West 92nd,40.791744763420375,-73.97395364413968,Cycle Studio
331,sweetgreen,40.791489843461605,-73.97394532465542,Salad Place
334,Apple NYC Nail & Spa,40.7920326478711,-73.9718094672626,Nail Salon
335,Little Italy Pizza,40.79201500048484,-73.9736386962634,Pizza Place
336,Gennaro Restaurant,40.79193160418364,-73.97193051298132,Italian Restaurant
337,Petco,40.79202619812699,-73.9738561333314,Pet Store
338,JOE & THE JUICE,40.791485,-73.973799,Juice Bar
339,Kouzan Japanese Restaurant,40.79221265537916,-73.97166393435015,Sushi Restaurant
341,Little Shop of Crafts,40.79280145306363,-73.9711646069311,Arts & Crafts Store
342,Numero 28 Cucina,40.79165264104104,-73.97213683656608,Pizza Place
349,Dunkin',40.792297830917754,-73.97141322453689,Donut Shop
350,The UPS Store,40.791767829998285,-73.97350802102659,Shipping Store
351,The Vitamin Shoppe,40.792045,-73.973212,Supplement Shop
357,K&D Wines & Spirits,40.787095671313054,-73.95426103745547,Wine Shop
358,Da Capo,40.78767941353058,-73.95389924539633,Café
359,Central Park - Woodman's Gate,40.78778566393158,-73.95592421293259,Park
360,Sammy's Gourmet,40.78813799207913,-73.95351960523122,Deli / Bodega
361,Champignon,40.78760822382639,-73.95393125119632,Sandwich Place
362,Tre Otto,40.78833631484488,-73.95342203073429,Italian Restaurant
363,JOE & THE JUICE,40.7881444,-73.9536764,Juice Bar
364,Famous Famiglia Pizza,40.78793369753483,-73.95369369347887,Pizza Place
365,Yura on Madison,40.786335,-73.954926,Café
366,The UPS Store,40.7877576,-73.9539601,Shipping Store
367,Papyrus,40.78733332103674,-73.9540246661417,Gift Shop
368,Le Pain Quotidien,40.7879563,-73.953435,Bakery
369,Lane Farms Market,40.7876792067205,-73.95387743483971,Grocery Store
370,ThaiWok,40.788193,-73.953804,Thai Restaurant
371,Dunkin',40.78771320016722,-73.95352069998262,Donut Shop
372,Starbucks,40.78714,-73.95448,Coffee Shop
373,Subway,40.78778480714158,-73.95402414952008,Sandwich Place
374,Squadron A Armory,40.786277,-73.954752,Historic Site
375,Neka,40.788426,-73.953645,American Restaurant
376,Vinyl Wine,40.786128664578506,-73.95077052391333,Wine Shop
377,Steep Rock Bouldering,40.78668735222083,-73.95039142278245,Climbing Gym
378,Little Luzzo's Pizza,40.78620859526081,-73.9516958183052,Pizza Place
379,Samuel Seabury Playground,40.78547546877856,-73.95076291284549,Playground
380,Monterey Sun Terrace,40.78571886805243,-73.94970058955,Scenic Lookout
381,The Rochard NYC,40.78664133299527,-73.95045684702883,Bar
382,Perfect Brows,40.78594519566069,-73.95108814358045,Health & Beauty Service
383,1510 Lexington,40.78680309221469,-73.95051752586565,Residential Building (Apartment / Condo)
384,Fresh From The Farm,40.78597667870227,-73.9510563238887,Gourmet Shop
385,Starbucks,40.78588936,-73.95083696,Coffee Shop
386,Taco Bell,40.78658785628473,-73.95043523052223,Fast Food Restaurant
387,Judy's Restaurant,40.786680525886666,-73.95038911505543,Latin American Restaurant
388,CVS pharmacy,40.786459334800675,-73.95061332370064,Pharmacy
389,Food Universe,40.786084,-73.951041,Grocery Store
390,The Mermaid Inn,40.7887443662537,-73.97424322252336,Seafood Restaurant
391,Pizzeria Sirenetta,40.78864019118798,-73.9742819869487,Italian Restaurant
392,Amélie,40.78867087369752,-73.97440006466266,Wine Bar
393,Barney Greengrass,40.788007875375264,-73.97479388324341,Bagel Shop
394,Kirsh Bakery and Kitchen,40.788138,-73.974502,Bakery
395,Bodrum Mediterranean Restaurant,40.78927368532629,-73.97382498331747,Turkish Restaurant
396,Cibo E Vino,40.790228485146734,-73.97503490852715,Italian Restaurant
397,Elite Unisex Salon and Barber Shop,40.783031648438254,-73.94840210739554,Salon / Barbershop
398,The Painted Lady,40.783396,-73.948051,Cocktail Bar
399,Starbucks,40.78271518758087,-73.94816913233733,Coffee Shop
400,Chochin,40.781843,-73.947863,Japanese Restaurant
401,Nick's Restaurant & Pizzeria,40.78292250725332,-73.94801440028694,Pizza Place
402,Merrion Square,40.78356289074022,-73.94749308058552,Pub
403,Go Cups,40.783510663203565,-73.94757038999462,Coffee Shop
404,Crossfit Concrete Jungle,40.782758706068456,-73.94729157655303,Gym
405,Key Food,40.78196718550217,-73.94913079978748,Supermarket
406,Reif's Tavern,40.78152599476767,-73.94857908931905,Bar
407,Koito Sushi,40.78202870138666,-73.94781662945556,Sushi Restaurant
408,Delizia 92,40.78173902290948,-73.94891490073233,Pizza Place
409,The Marmara Manhattan,40.7829704284668,-73.9476699829102,Hotel
410,A-Jiao Sichuan Cuisine,40.78302391641758,-73.94798723979062,Chinese Restaurant
411,Starbucks,40.782904,-73.948443,Coffee Shop
412,The UPS Store,40.7834263,-73.9474527,Shipping Store
413,Stella & Fly,40.77846380035534,-73.94828205986073,Coffee Shop
